,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,5053d131-17f4-4414-bc6b-e52e31dcab2e,[Jean] has a brother named [Daniel].  [Jermaine] is the father of [Daniel].  [Rosemarie] is the daughter-in-law of [Vickie]. ,"('Jean', 'Jermaine')",How are [Jean] and [Jermaine] related to each other ? ,father,['[Jermaine] is the father of [Jean]. '],[Jean] has a brother named [Daniel].  [Jermaine] is the father of [Daniel]. ,"[{('Jean', 'father', 'Jermaine'): [('Jean', 'brother', 'Daniel'), ('Daniel', 'father', 'Jermaine')]}]",brother-father,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['brother', 'father', 'daughter-in-law']","(0, 2)","Jean:female,Daniel:male,Jermaine:male,Vickie:female,Rosemarie:female",,"{19: 0, 17: 1, 4: 2, 11: 3, 33: 4}",train
1,e9509878-65b0-4a09-bd0b-4cff4e2af348,[Jerry] has a brother named [James].  [Jermaine] is the father of [Joshua].  [Jermaine] has a daughter called [Jean]. ,"('Joshua', 'Jean')","For [Joshua], who is [Jean] ? ",sister,['[Joshua] has a sister named [Jean]. '],[Jermaine] is the father of [Joshua].  [Jermaine] has a daughter called [Jean]. ,"[{('Joshua', 'sister', 'Jean'): [('Joshua', 'father', 'Jermaine'), ('Jermaine', 'daughter', 'Jean')]}]",father-daughter,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['father', 'daughter', 'brother']","(0, 2)","Joshua:male,Jermaine:male,Jean:female,Jerry:male,James:male",,"{18: 0, 4: 1, 19: 2, 2: 3, 21: 4}",train
2,92d88e96-6016-4935-b411-1c9fdff8f3a8,[Kareem] is a son of [Jerry].  [Nancy] has a daughter-in-law who is [Sonia].  [Jerry] is [Randy]'s father. ,"('Randy', 'Kareem')",How is [Randy] related to [Kareem] ? ,brother,['[Kareem] is a brother of [Randy]. '],[Jerry] is [Randy]'s father.  [Kareem] is a son of [Jerry]. ,"[{('Randy', 'brother', 'Kareem'): [('Randy', 'father', 'Jerry'), ('Jerry', 'son', 'Kareem')]}]",father-son,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['father', 'son', 'daughter-in-law']","(0, 2)","Randy:male,Jerry:male,Kareem:male,Nancy:female,Sonia:female",,"{10: 0, 2: 1, 7: 2, 6: 3, 26: 4}",train
3,aad38127-02cd-478e-a2c9-0a814a528ec7,[Diane] is the granddaughter of [Melissa].  [Jerry] is the uncle of [Katherine].  [Katherine] is [Robert]'s daughter. ,"('Robert', 'Jerry')","For [Robert], who is [Jerry] ? ",brother,['[Robert] has a brother named [Jerry]. '],[Katherine] is [Robert]'s daughter.  [Jerry] is the uncle of [Katherine]. ,"[{('Robert', 'brother', 'Jerry'): [('Robert', 'daughter', 'Katherine'), ('Katherine', 'uncle', 'Jerry')]}]",daughter-uncle,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['daughter', 'uncle', 'granddaughter']","(0, 2)","Robert:male,Katherine:female,Jerry:male,Melissa:female,Diane:female",,"{3: 0, 12: 1, 2: 2, 1: 3, 8: 4}",train
4,212efda8-51c0-4a2c-8640-d4af7601dc53,[Charles] is the grandfather of [Daniel].  [Daniel] is [Isabelle]'s son.  [Janice] is [Jermaine]'s sister. ,"('Isabelle', 'Charles')","For [Isabelle], who is [Charles] ? ",father,"[""[Charles] is [Isabelle]'s father. ""]",[Daniel] is [Isabelle]'s son.  [Charles] is the grandfather of [Daniel]. ,"[{('Isabelle', 'father', 'Charles'): [('Isabelle', 'son', 'Daniel'), ('Daniel', 'grandfather', 'Charles')]}]",son-grandfather,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['son', 'grandfather', 'sister']","(0, 2)","Isabelle:female,Daniel:male,Charles:male,Jermaine:male,Janice:female",,"{16: 0, 17: 1, 0: 2, 4: 3, 5: 4}",train
5,6f9ea8ca-d5fb-4418-8fc1-20e5cad4b30f,[Margie] is [Hugh]'s wife.  [Janice] is the mother of [Margie].  [Sonia] is the daughter-in-law of [Nancy]. ,"('Hugh', 'Janice')",What is the family connection between [Hugh] and [Janice] ? ,mother-in-law,"[""[Janice] is [Hugh]'s mother-in-law. ""]",[Margie] is [Hugh]'s wife.  [Janice] is the mother of [Margie]. ,"[{('Hugh', 'mother-in-law', 'Janice'): [('Hugh', 'wife', 'Margie'), ('Margie', 'mother', 'Janice')]}]",wife-mother,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['wife', 'mother', 'daughter-in-law']","(0, 2)","Hugh:male,Margie:female,Janice:female,Nancy:female,Sonia:female",,"{38: 0, 22: 1, 5: 2, 6: 3, 26: 4}",train
6,3b2c0d7f-5bf4-44a2-9394-bc069737ea75,[Sonia] is [Kareem]'s wife.  [Robert] has a daughter called [Crystal].  [Robert] is a son of [Charles]. ,"('Charles', 'Crystal')",How are [Charles] and [Crystal] related to each other ? ,granddaughter,"[""[Crystal] is [Charles]'s granddaughter. ""]",[Robert] is a son of [Charles].  [Robert] has a daughter called [Crystal]. ,"[{('Charles', 'granddaughter', 'Crystal'): [('Charles', 'son', 'Robert'), ('Robert', 'daughter', 'Crystal')]}]",son-daughter,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['son', 'daughter', 'wife']","(0, 2)","Charles:male,Robert:male,Crystal:female,Kareem:male,Sonia:female",,"{0: 0, 3: 1, 14: 2, 7: 3, 26: 4}",train
7,918b22b7-c706-4475-a999-294f219b3859,[Jerry] has a brother named [Robert].  [Marlon] is [Nancy]'s nephew.  [Katherine] is [Robert]'s daughter. ,"('Jerry', 'Katherine')",How is [Jerry] related to [Katherine] ? ,neice,['[Katherine] is the niece of [Jerry]. '],[Jerry] has a brother named [Robert].  [Katherine] is [Robert]'s daughter. ,"[{('Jerry', 'neice', 'Katherine'): [('Jerry', 'brother', 'Robert'), ('Robert', 'daughter', 'Katherine')]}]",brother-daughter,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['brother', 'daughter', 'nephew']","(0, 2)","Jerry:male,Robert:male,Katherine:female,Nancy:female,Marlon:male",,"{2: 0, 3: 1, 12: 2, 6: 3, 13: 4}",train
8,5c21c70b-83a5-4096-a006-176ca4ce06d7,[Jewell] is [Nancy]'s nephew.  [Margie] is [Janice]'s daughter.  [Melissa] is [Margie]'s grandmother. ,"('Janice', 'Melissa')",How are [Janice] and [Melissa] related to each other ? ,mother,"[""[Melissa] is [Janice]'s mother. ""]",[Margie] is [Janice]'s daughter.  [Melissa] is [Margie]'s grandmother. ,"[{('Janice', 'mother', 'Melissa'): [('Janice', 'daughter', 'Margie'), ('Margie', 'grandmother', 'Melissa')]}]",daughter-grandmother,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['daughter', 'grandmother', 'nephew']","(0, 2)","Janice:female,Margie:female,Melissa:female,Nancy:female,Jewell:male",,"{5: 0, 22: 1, 1: 2, 6: 3, 25: 4}",train
9,95b08707-77b0-4c43-81f3-1b2a3c3a4689,[Kelley] is the daughter-in-law of [Isabelle].  [Janice] is the mother of [Maurine].  [Janice] has a brother named [Jerry]. ,"('Maurine', 'Jerry')","For [Maurine], who is [Jerry] ? ",uncle,"[""[Jerry] is [Maurine]'s uncle. ""]",[Janice] is the mother of [Maurine].  [Janice] has a brother named [Jerry]. ,"[{('Maurine', 'uncle', 'Jerry'): [('Maurine', 'mother', 'Janice'), ('Janice', 'brother', 'Jerry')]}]",mother-brother,task_4.2,"[(0, 1), (1, 2), (3, 4)]","['mother', 'brother', 'daughter-in-law']","(0, 2)","Maurine:female,Janice:female,Jerry:male,Isabelle:female,Kelley:female",,"{24: 0, 5: 1, 2: 2, 16: 3, 34: 4}",train
