,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,7205ec76-83b0-4501-a402-0731e838896c,[Jon] is [Carol]'s brother.  [Mervin] has a daughter called [Carol].  [Chantell] is a daughter of [Jon].  [Mervin] has a son called [Jon]. ,"('Mervin', 'Chantell')","For [Mervin], who is [Chantell] ? ",granddaughter,['[Chantell] is the granddaughter of [Mervin]. '],[Mervin] has a son called [Jon].  [Chantell] is a daughter of [Jon]. ,"[{('Mervin', 'granddaughter', 'Chantell'): [('Mervin', 'son', 'Jon'), ('Jon', 'daughter', 'Chantell')]}]",son-daughter,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['son', 'daughter', 'daughter', 'brother']","(0, 2)","Mervin:male,Jon:male,Chantell:female,Carol:female",,"{0: 0, 4: 1, 17: 2, 3: 3}",train
1,b3e5aa06-2a15-45c5-a9a0-5f83b7d2ffaf,[Mervin] is [Chantell]'s grandfather.  [Chantell] is a daughter of [Esther].  [Brooke] has a sister named [Chantell].  [Brooke] is a daughter of [Esther]. ,"('Esther', 'Mervin')",How are [Esther] and [Mervin] related to each other ? ,father,['[Mervin] is the father of [Esther]. '],[Chantell] is a daughter of [Esther].  [Mervin] is [Chantell]'s grandfather. ,"[{('Esther', 'father', 'Mervin'): [('Esther', 'daughter', 'Chantell'), ('Chantell', 'grandfather', 'Mervin')]}]",daughter-grandfather,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['daughter', 'grandfather', 'daughter', 'sister']","(0, 2)","Esther:female,Chantell:female,Mervin:male,Brooke:female",,"{16: 0, 17: 1, 0: 2, 19: 3}",train
2,17b52460-5faa-4b7f-97e9-ceb48897b3fa,[Walter] is [Jon]'s son.  [Brooke] has a brother named [Walter].  [Shirley] is [Walter]'s wife.  [Brooke] is a daughter of [Jon]. ,"('Jon', 'Shirley')",Fill in the blanks : [Shirley] is [Jon] 's _. ,daughter-in-law,['[Shirley] is the daughter-in-law of [Jon]. '],[Walter] is [Jon]'s son.  [Shirley] is [Walter]'s wife. ,"[{('Jon', 'daughter-in-law', 'Shirley'): [('Jon', 'son', 'Walter'), ('Walter', 'wife', 'Shirley')]}]",son-wife,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['son', 'wife', 'daughter', 'brother']","(0, 2)","Jon:male,Walter:male,Shirley:female,Brooke:female",,"{4: 0, 18: 1, 35: 2, 19: 3}",train
3,3b41b992-9c44-4176-a108-4c17061e4d32,[Melissa] is [Glenn]'s grandmother.  [Melissa] is the mother of [Calvin].  [Glenn] is a son of [Lila].  [Calvin] is [Glenn]'s father. ,"('Lila', 'Melissa')",How are [Lila] and [Melissa] related to each other ? ,mother,['[Melissa] is the mother of [Lila]. '],[Glenn] is a son of [Lila].  [Melissa] is [Glenn]'s grandmother. ,"[{('Lila', 'mother', 'Melissa'): [('Lila', 'son', 'Glenn'), ('Glenn', 'grandmother', 'Melissa')]}]",son-grandmother,task_2.2,"[(0, 1), (1, 2), (1, 3), (3, 2)]","['son', 'grandmother', 'father', 'mother']","(0, 2)","Lila:female,Glenn:male,Melissa:female,Calvin:male",,"{5: 0, 22: 1, 1: 2, 21: 3}",train
4,8767d3d9-e1f1-4ffd-9f7f-00e10767fc6d,[Esther] is the wife of [Jon].  [Jon] has a son called [Walter].  [Esther] has a son called [Walter].  [Jon] is the father of [Brooke]. ,"('Brooke', 'Walter')",Who is [Walter] from the point of relation of [Brooke] ? ,brother,"[""[Walter] is [Brooke]'s brother. ""]",[Jon] is the father of [Brooke].  [Jon] has a son called [Walter]. ,"[{('Brooke', 'brother', 'Walter'): [('Brooke', 'father', 'Jon'), ('Jon', 'son', 'Walter')]}]",father-son,task_2.2,"[(0, 1), (1, 2), (1, 3), (3, 2)]","['father', 'son', 'wife', 'son']","(0, 2)","Brooke:female,Jon:male,Walter:male,Esther:female",,"{19: 0, 4: 1, 18: 2, 16: 3}",train
5,7fa1ed76-9e3f-4b9c-9e92-d5ecf2c7c9bf,[Erica] is a daughter of [Robert].  [Jon] is [William]'s uncle.  [William] is a brother of [Erica].  [William] is a son of [Robert]. ,"('Robert', 'Jon')",How is [Robert] related to [Jon] ? ,brother,['[Jon] is a brother of [Robert]. '],[William] is a son of [Robert].  [Jon] is [William]'s uncle. ,"[{('Robert', 'brother', 'Jon'): [('Robert', 'son', 'William'), ('William', 'uncle', 'Jon')]}]",son-uncle,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['son', 'uncle', 'daughter', 'brother']","(0, 2)","Robert:male,William:male,Jon:male,Erica:female",,"{11: 0, 12: 1, 4: 2, 15: 3}",train
6,15cc53a6-42ba-4de2-a550-f791bf203a85,[Elias] has a sister named [Lila].  [Elias] is a son of [Mervin].  [Jon] is a son of [Mervin].  [Elias] is a brother of [Jon]. ,"('Mervin', 'Lila')","For [Mervin], who is [Lila] ? ",daughter,['[Lila] is a daughter of [Mervin]. '],[Elias] is a son of [Mervin].  [Elias] has a sister named [Lila]. ,"[{('Mervin', 'daughter', 'Lila'): [('Mervin', 'son', 'Elias'), ('Elias', 'sister', 'Lila')]}]",son-sister,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['son', 'sister', 'son', 'brother']","(0, 2)","Mervin:male,Elias:male,Lila:female,Jon:male",,"{0: 0, 2: 1, 5: 2, 4: 3}",train
7,935fd3b5-4788-4151-81a2-02764ce29913,[Robert] has a brother named [Jon].  [Esther] is the wife of [Jon].  [Brooke] is [Esther]'s daughter.  [Brooke] is a daughter of [Jon]. ,"('Robert', 'Brooke')",How is [Robert] related to [Brooke] ? ,neice,['[Brooke] is the niece of [Robert]. '],[Robert] has a brother named [Jon].  [Brooke] is a daughter of [Jon]. ,"[{('Robert', 'neice', 'Brooke'): [('Robert', 'brother', 'Jon'), ('Jon', 'daughter', 'Brooke')]}]",brother-daughter,task_2.2,"[(0, 1), (1, 2), (1, 3), (3, 2)]","['brother', 'daughter', 'wife', 'daughter']","(0, 2)","Robert:male,Jon:male,Brooke:female,Esther:female",,"{11: 0, 4: 1, 19: 2, 16: 3}",train
8,9990a923-d44f-43f3-b29a-d98cd5042b5c,[Brooke] is [Cheryl]'s sister.  [Jon] is the father of [Brooke].  [Melissa] is [Jon]'s mother.  [Jon] is [Cheryl]'s father. ,"('Cheryl', 'Melissa')","For [Cheryl], who is [Melissa] ? ",grandmother,"[""[Melissa] is [Cheryl]'s grandmother. ""]",[Jon] is [Cheryl]'s father.  [Melissa] is [Jon]'s mother. ,"[{('Cheryl', 'grandmother', 'Melissa'): [('Cheryl', 'father', 'Jon'), ('Jon', 'mother', 'Melissa')]}]",father-mother,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['father', 'mother', 'sister', 'father']","(0, 2)","Cheryl:female,Jon:male,Melissa:female,Brooke:female",,"{20: 0, 4: 1, 1: 2, 19: 3}",train
9,61a51730-3ce1-44a4-a19f-fbbc7a863643,[Carol] is [Melissa]'s daughter.  [Walter] is a son of [Jon].  [Jon] is a brother of [Carol].  [Jon] is [Melissa]'s son. ,"('Melissa', 'Walter')",Fill in the blanks : [Walter] is [Melissa] 's _. ,grandson,"[""[Walter] is [Melissa]'s grandson. ""]",[Jon] is [Melissa]'s son.  [Walter] is a son of [Jon]. ,"[{('Melissa', 'grandson', 'Walter'): [('Melissa', 'son', 'Jon'), ('Jon', 'son', 'Walter')]}]",son-son,task_2.2,"[(0, 1), (1, 2), (0, 3), (3, 1)]","['son', 'son', 'daughter', 'brother']","(0, 2)","Melissa:female,Jon:male,Walter:male,Carol:female",,"{1: 0, 4: 1, 18: 2, 3: 3}",train
