,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,077a653c-de3f-4241-9ed6-c37ded7d8266,[Betsy] is a sister of [Arthur].  [Linda] is [Betsy]'s mother. ,"('Arthur', 'Linda')",What is the family connection between [Arthur] and [Linda] ? ,mother,"[""[Linda] is [Arthur]'s mother. ""]",[Betsy] is a sister of [Arthur].  [Linda] is [Betsy]'s mother. ,"[{('Arthur', 'mother', 'Linda'): [('Arthur', 'sister', 'Betsy'), ('Betsy', 'mother', 'Linda')]}]",sister-mother,task_1.2,"[(0, 1), (1, 2)]","['sister', 'mother']","(0, 2)","Arthur:male,Betsy:female,Linda:female",,"{19: 0, 17: 1, 4: 2}",train
1,afdd9525-3d71-4a96-85a6-4ef8b5317b84,[Shirley] is [John]'s mother.  [Shirley] has a daughter called [Rae]. ,"('John', 'Rae')",How are [John] and [Rae] related to each other ? ,sister,['[Rae] is a sister of [John]. '],[Shirley] is [John]'s mother.  [Shirley] has a daughter called [Rae]. ,"[{('John', 'sister', 'Rae'): [('John', 'mother', 'Shirley'), ('Shirley', 'daughter', 'Rae')]}]",mother-daughter,task_1.2,"[(0, 1), (1, 2)]","['mother', 'daughter']","(0, 2)","John:male,Shirley:female,Rae:female",,"{10: 0, 2: 1, 7: 2}",train
2,717aeaf7-2a53-40ac-932c-a44a8ade64ae,[Shirley] has a daughter called [Natasha].  The husband of [Natasha] is [Dallas]. ,"('Shirley', 'Dallas')",Who is [Dallas] from the point of relation of [Shirley] ? ,son-in-law,['[Shirley] has a son-in-law who is [Dallas]. '],[Shirley] has a daughter called [Natasha].  The husband of [Natasha] is [Dallas]. ,"[{('Shirley', 'son-in-law', 'Dallas'): [('Shirley', 'daughter', 'Natasha'), ('Natasha', 'husband', 'Dallas')]}]",daughter-husband,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'husband']","(0, 2)","Shirley:female,Natasha:female,Dallas:male",,"{2: 0, 8: 1, 27: 2}",train
3,34eef343-daa7-4f6c-bed2-9267009de471,[Robert] is [Kevin]'s son.  [Gerald] is a brother of [Robert]. ,"('Kevin', 'Gerald')",How is [Kevin] related to [Gerald] ? ,son,['[Kevin] has a son called [Gerald]. '],[Robert] is [Kevin]'s son.  [Gerald] is a brother of [Robert]. ,"[{('Kevin', 'son', 'Gerald'): [('Kevin', 'son', 'Robert'), ('Robert', 'brother', 'Gerald')]}]",son-brother,task_1.2,"[(0, 1), (1, 2)]","['son', 'brother']","(0, 2)","Kevin:male,Robert:male,Gerald:male",,"{5: 0, 22: 1, 24: 2}",train
4,5a1e86a5-50b2-436f-951f-0afca4e3d6e4,[Michael] has a daughter called [Betsy].  [Richard] is [Betsy]'s grandfather. ,"('Michael', 'Richard')",How is [Michael] related to [Richard] ? ,father,['[Richard] is the father of [Michael]. '],[Michael] has a daughter called [Betsy].  [Richard] is [Betsy]'s grandfather. ,"[{('Michael', 'father', 'Richard'): [('Michael', 'daughter', 'Betsy'), ('Betsy', 'grandfather', 'Richard')]}]",daughter-grandfather,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandfather']","(0, 2)","Michael:male,Betsy:female,Richard:male",,"{16: 0, 17: 1, 0: 2}",train
5,8cdebe5a-baaf-43ca-8e1f-7192525e1220,[Pamela] is the grandmother of [Robert].  [Robert] is a son of [Kevin]. ,"('Kevin', 'Pamela')",Who is [Pamela] from the point of relation of [Kevin] ? ,mother,['[Pamela] is the mother of [Kevin]. '],[Robert] is a son of [Kevin].  [Pamela] is the grandmother of [Robert]. ,"[{('Kevin', 'mother', 'Pamela'): [('Kevin', 'son', 'Robert'), ('Robert', 'grandmother', 'Pamela')]}]",son-grandmother,task_1.2,"[(0, 1), (1, 2)]","['son', 'grandmother']","(0, 2)","Kevin:male,Robert:male,Pamela:female",,"{5: 0, 22: 1, 1: 2}",train
6,649769ec-8d4f-4324-9c02-965045337c8d,[Lori] is [Margaret]'s daughter.  [Linda] is the aunt of [Lori]. ,"('Margaret', 'Linda')",Who is [Linda] from the point of relation of [Margaret] ? ,sister,['[Linda] is a sister of [Margaret]. '],[Lori] is [Margaret]'s daughter.  [Linda] is the aunt of [Lori]. ,"[{('Margaret', 'sister', 'Linda'): [('Margaret', 'daughter', 'Lori'), ('Lori', 'aunt', 'Linda')]}]",daughter-aunt,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'aunt']","(0, 2)","Margaret:female,Lori:female,Linda:female",,"{11: 0, 12: 1, 4: 2}",train
7,f800f4ca-e841-46dc-9f6a-61c2a3b72938,[Jeremy] is a son of [Linda].  [Jeremy] has a sister named [Betsy]. ,"('Linda', 'Betsy')",Who is [Betsy] from the point of relation of [Linda] ? ,daughter,['[Linda] has a daughter called [Betsy]. '],[Jeremy] is a son of [Linda].  [Jeremy] has a sister named [Betsy]. ,"[{('Linda', 'daughter', 'Betsy'): [('Linda', 'son', 'Jeremy'), ('Jeremy', 'sister', 'Betsy')]}]",son-sister,task_1.2,"[(0, 1), (1, 2)]","['son', 'sister']","(0, 2)","Linda:female,Jeremy:male,Betsy:female",,"{4: 0, 18: 1, 17: 2}",train
8,121f83b7-1864-49e2-890d-ca76ba657493,[Shirley] is [Rae]'s mother.  [Linda] is [Shirley]'s sister. ,"('Rae', 'Linda')",Who is [Linda] from the point of relation of [Rae] ? ,aunt,['[Linda] is the aunt of [Rae]. '],[Shirley] is [Rae]'s mother.  [Linda] is [Shirley]'s sister. ,"[{('Rae', 'aunt', 'Linda'): [('Rae', 'mother', 'Shirley'), ('Shirley', 'sister', 'Linda')]}]",mother-sister,task_1.2,"[(0, 1), (1, 2)]","['mother', 'sister']","(0, 2)","Rae:female,Shirley:female,Linda:female",,"{7: 0, 2: 1, 4: 2}",train
9,bcc478a4-1277-4c46-9263-60284df7ad65,[Linda] is [Arthur]'s mother.  [Pamela] is the mother of [Linda]. ,"('Arthur', 'Pamela')",Fill in the blanks : [Pamela] is [Arthur] 's _. ,grandmother,"[""[Pamela] is [Arthur]'s grandmother. ""]",[Linda] is [Arthur]'s mother.  [Pamela] is the mother of [Linda]. ,"[{('Arthur', 'grandmother', 'Pamela'): [('Arthur', 'mother', 'Linda'), ('Linda', 'mother', 'Pamela')]}]",mother-mother,task_1.2,"[(0, 1), (1, 2)]","['mother', 'mother']","(0, 2)","Arthur:male,Linda:female,Pamela:female",,"{19: 0, 4: 1, 1: 2}",train
10,e22cef04-1eae-45ed-ac11-98b176e708a4,[Richard] is the father of [Shirley].  [Shirley] is [Natasha]'s mother. ,"('Natasha', 'Richard')",How is [Natasha] related to [Richard] ? ,grandfather,['[Richard] is the grandfather of [Natasha]. '],[Shirley] is [Natasha]'s mother.  [Richard] is the father of [Shirley]. ,"[{('Natasha', 'grandfather', 'Richard'): [('Natasha', 'mother', 'Shirley'), ('Shirley', 'father', 'Richard')]}]",mother-father,task_1.2,"[(0, 1), (1, 2)]","['mother', 'father']","(0, 2)","Natasha:female,Shirley:female,Richard:male",,"{8: 0, 2: 1, 0: 2}",train
11,0b75b3f8-7015-4ac8-8b71-b2369b09d0a4,[Linda] is [Jeremy]'s mother.  [Linda] has a daughter called [Betsy]. ,"('Jeremy', 'Betsy')",What is the family connection between [Jeremy] and [Betsy] ? ,sister,"[""[Betsy] is [Jeremy]'s sister. ""]",[Linda] is [Jeremy]'s mother.  [Linda] has a daughter called [Betsy]. ,"[{('Jeremy', 'sister', 'Betsy'): [('Jeremy', 'mother', 'Linda'), ('Linda', 'daughter', 'Betsy')]}]",mother-daughter,task_1.2,"[(0, 1), (1, 2)]","['mother', 'daughter']","(0, 2)","Jeremy:male,Linda:female,Betsy:female",,"{18: 0, 4: 1, 17: 2}",train
12,5def6e90-5a8a-4224-a70a-51e1de9d7672,[Linda] is [Richard]'s daughter.  [Arthur] is [Linda]'s son. ,"('Richard', 'Arthur')",Fill in the blanks : [Arthur] is [Richard] 's _. ,grandson,"[""[Arthur] is [Richard]'s grandson. ""]",[Linda] is [Richard]'s daughter.  [Arthur] is [Linda]'s son. ,"[{('Richard', 'grandson', 'Arthur'): [('Richard', 'daughter', 'Linda'), ('Linda', 'son', 'Arthur')]}]",daughter-son,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'son']","(0, 2)","Richard:male,Linda:female,Arthur:male",,"{0: 0, 4: 1, 19: 2}",train
13,3ba35fdf-6b28-414f-a87f-02000c92ab4b,[Dennis] is [Donna]'s father.  [Melvin] is a brother of [Dennis]. ,"('Donna', 'Melvin')",What is the family connection between [Donna] and [Melvin] ? ,uncle,['[Melvin] is the uncle of [Donna]. '],[Dennis] is [Donna]'s father.  [Melvin] is a brother of [Dennis]. ,"[{('Donna', 'uncle', 'Melvin'): [('Donna', 'father', 'Dennis'), ('Dennis', 'brother', 'Melvin')]}]",father-brother,task_1.2,"[(0, 1), (1, 2)]","['father', 'brother']","(0, 2)","Donna:female,Dennis:male,Melvin:male",,"{15: 0, 3: 1, 6: 2}",train
14,07808bd4-3e9e-4db2-b8c6-a01e9ac407ab,[Melvin] is [Robert]'s uncle.  [Kevin] has a son called [Robert]. ,"('Kevin', 'Melvin')",How is [Kevin] related to [Melvin] ? ,brother,['[Kevin] has a brother named [Melvin]. '],[Kevin] has a son called [Robert].  [Melvin] is [Robert]'s uncle. ,"[{('Kevin', 'brother', 'Melvin'): [('Kevin', 'son', 'Robert'), ('Robert', 'uncle', 'Melvin')]}]",son-uncle,task_1.2,"[(0, 1), (1, 2)]","['son', 'uncle']","(0, 2)","Kevin:male,Robert:male,Melvin:male",,"{5: 0, 22: 1, 6: 2}",train
15,154bca7c-5be6-45df-95d8-5f6090583cca,[Kevin] is the father of [Robert].  [Shirley] is a sister of [Kevin]. ,"('Robert', 'Shirley')",How are [Robert] and [Shirley] related to each other ? ,aunt,['[Shirley] is the aunt of [Robert]. '],[Kevin] is the father of [Robert].  [Shirley] is a sister of [Kevin]. ,"[{('Robert', 'aunt', 'Shirley'): [('Robert', 'father', 'Kevin'), ('Kevin', 'sister', 'Shirley')]}]",father-sister,task_1.2,"[(0, 1), (1, 2)]","['father', 'sister']","(0, 2)","Robert:male,Kevin:male,Shirley:female",,"{22: 0, 5: 1, 2: 2}",train
16,1a508529-1275-4aa0-8882-d79ae20c0979,[Lori] is [Margaret]'s daughter.  [Pamela] is the grandmother of [Lori]. ,"('Margaret', 'Pamela')",What is the family connection between [Margaret] and [Pamela] ? ,mother,"[""[Pamela] is [Margaret]'s mother. ""]",[Lori] is [Margaret]'s daughter.  [Pamela] is the grandmother of [Lori]. ,"[{('Margaret', 'mother', 'Pamela'): [('Margaret', 'daughter', 'Lori'), ('Lori', 'grandmother', 'Pamela')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","Margaret:female,Lori:female,Pamela:female",,"{11: 0, 12: 1, 1: 2}",train
17,3780777a-3070-4e19-a945-213f84ca9f26,[Rae] is a daughter of [Shirley].  [John] is a brother of [Rae]. ,"('Shirley', 'John')",How are [Shirley] and [John] related to each other ? ,son,['[John] is a son of [Shirley]. '],[Rae] is a daughter of [Shirley].  [John] is a brother of [Rae]. ,"[{('Shirley', 'son', 'John'): [('Shirley', 'daughter', 'Rae'), ('Rae', 'brother', 'John')]}]",daughter-brother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'brother']","(0, 2)","Shirley:female,Rae:female,John:male",,"{2: 0, 7: 1, 10: 2}",train
18,b8c50c5f-0ee4-4905-9366-2e3ca00a617b,[Linda] has a daughter called [Betsy].  [Betsy] has a brother named [Brian]. ,"('Linda', 'Brian')",Who is [Brian] from the point of relation of [Linda] ? ,son,['[Brian] is a son of [Linda]. '],[Linda] has a daughter called [Betsy].  [Betsy] has a brother named [Brian]. ,"[{('Linda', 'son', 'Brian'): [('Linda', 'daughter', 'Betsy'), ('Betsy', 'brother', 'Brian')]}]",daughter-brother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'brother']","(0, 2)","Linda:female,Betsy:female,Brian:male",,"{4: 0, 17: 1, 20: 2}",train
19,bcaa1708-944a-4d12-8fac-26ba19cd0f95,[Kevin] is [Gregory]'s father.  [Robert] has a brother named [Gregory]. ,"('Robert', 'Kevin')",What is the family connection between [Robert] and [Kevin] ? ,father,"[""[Kevin] is [Robert]'s father. ""]",[Robert] has a brother named [Gregory].  [Kevin] is [Gregory]'s father. ,"[{('Robert', 'father', 'Kevin'): [('Robert', 'brother', 'Gregory'), ('Gregory', 'father', 'Kevin')]}]",brother-father,task_1.2,"[(0, 1), (1, 2)]","['brother', 'father']","(0, 2)","Robert:male,Gregory:male,Kevin:male",,"{22: 0, 23: 1, 5: 2}",train
20,89e7980c-ec3f-44b4-9afd-038e766b1f06,[Kevin] is [Gregory]'s father.  [Richard] is [Kevin]'s father. ,"('Gregory', 'Richard')",Who is [Richard] from the point of relation of [Gregory] ? ,grandfather,"[""[Richard] is [Gregory]'s grandfather. ""]",[Kevin] is [Gregory]'s father.  [Richard] is [Kevin]'s father. ,"[{('Gregory', 'grandfather', 'Richard'): [('Gregory', 'father', 'Kevin'), ('Kevin', 'father', 'Richard')]}]",father-father,task_1.2,"[(0, 1), (1, 2)]","['father', 'father']","(0, 2)","Gregory:male,Kevin:male,Richard:male",,"{23: 0, 5: 1, 0: 2}",train
21,9c163e89-e20d-4640-a228-cfd11f7f086f,[Shirley] is a daughter of [Richard].  [Shirley] has a daughter called [Rae]. ,"('Richard', 'Rae')",How are [Richard] and [Rae] related to each other ? ,granddaughter,['[Richard] has a granddaughter who is [Rae]. '],[Shirley] is a daughter of [Richard].  [Shirley] has a daughter called [Rae]. ,"[{('Richard', 'granddaughter', 'Rae'): [('Richard', 'daughter', 'Shirley'), ('Shirley', 'daughter', 'Rae')]}]",daughter-daughter,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'daughter']","(0, 2)","Richard:male,Shirley:female,Rae:female",,"{0: 0, 2: 1, 7: 2}",train
22,6a68e294-be2a-47f1-8218-89c7e83150a1,[Pamela] has a daughter called [Shirley].  The husband of [Shirley] is [Melvin]. ,"('Pamela', 'Melvin')","For [Pamela], who is [Melvin] ? ",son-in-law,['[Pamela] has a son-in-law who is [Melvin]. '],[Pamela] has a daughter called [Shirley].  The husband of [Shirley] is [Melvin]. ,"[{('Pamela', 'son-in-law', 'Melvin'): [('Pamela', 'daughter', 'Shirley'), ('Shirley', 'husband', 'Melvin')]}]",daughter-husband,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'husband']","(0, 2)","Pamela:female,Shirley:female,Melvin:male",,"{1: 0, 2: 1, 6: 2}",train
23,6ad5993a-b31f-4969-b89d-5769080cd331,[Pamela] is the mother of [Kevin].  [Kevin] is [Travis]'s father. ,"('Travis', 'Pamela')",What is the family connection between [Travis] and [Pamela] ? ,grandmother,"[""[Pamela] is [Travis]'s grandmother. ""]",[Kevin] is [Travis]'s father.  [Pamela] is the mother of [Kevin]. ,"[{('Travis', 'grandmother', 'Pamela'): [('Travis', 'father', 'Kevin'), ('Kevin', 'mother', 'Pamela')]}]",father-mother,task_1.2,"[(0, 1), (1, 2)]","['father', 'mother']","(0, 2)","Travis:male,Kevin:male,Pamela:female",,"{25: 0, 5: 1, 1: 2}",train
24,1f160786-6d38-47be-8311-1539bbd4a1b9,[Linda] is [Jeremy]'s mother.  [Linda] has a son called [Brian]. ,"('Jeremy', 'Brian')",Who is [Brian] from the point of relation of [Jeremy] ? ,brother,['[Jeremy] has a brother named [Brian]. '],[Linda] is [Jeremy]'s mother.  [Linda] has a son called [Brian]. ,"[{('Jeremy', 'brother', 'Brian'): [('Jeremy', 'mother', 'Linda'), ('Linda', 'son', 'Brian')]}]",mother-son,task_1.2,"[(0, 1), (1, 2)]","['mother', 'son']","(0, 2)","Jeremy:male,Linda:female,Brian:male",,"{18: 0, 4: 1, 20: 2}",train
25,78f95b62-51e4-4ab1-8fbc-7090b044eb78,[Dennis] has a daughter called [Lori].  [Pamela] is the grandmother of [Lori]. ,"('Dennis', 'Pamela')","For [Dennis], who is [Pamela] ? ",mother,"[""[Pamela] is [Dennis]'s mother. ""]",[Dennis] has a daughter called [Lori].  [Pamela] is the grandmother of [Lori]. ,"[{('Dennis', 'mother', 'Pamela'): [('Dennis', 'daughter', 'Lori'), ('Lori', 'grandmother', 'Pamela')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","Dennis:male,Lori:female,Pamela:female",,"{3: 0, 12: 1, 1: 2}",train
26,88187130-de30-4278-b217-89250a6c2fca,[Margaret] is [Lori]'s mother.  [Lori] is the wife of [Daniel]. ,"('Daniel', 'Margaret')",What is the family connection between [Daniel] and [Margaret] ? ,mother-in-law,['[Margaret] is the mother-in-law of [Daniel]. '],[Lori] is the wife of [Daniel].  [Margaret] is [Lori]'s mother. ,"[{('Daniel', 'mother-in-law', 'Margaret'): [('Daniel', 'wife', 'Lori'), ('Lori', 'mother', 'Margaret')]}]",wife-mother,task_1.2,"[(0, 1), (1, 2)]","['wife', 'mother']","(0, 2)","Daniel:male,Lori:female,Margaret:female",,"{30: 0, 12: 1, 11: 2}",train
27,e52333e9-29fd-4b87-9669-6c725a83fdad,[Shirley] is [Robert]'s aunt.  [Lorena] has a son called [Robert]. ,"('Lorena', 'Shirley')",Who is [Shirley] from the point of relation of [Lorena] ? ,sister,"[""[Shirley] is [Lorena]'s sister. ""]",[Lorena] has a son called [Robert].  [Shirley] is [Robert]'s aunt. ,"[{('Lorena', 'sister', 'Shirley'): [('Lorena', 'son', 'Robert'), ('Robert', 'aunt', 'Shirley')]}]",son-aunt,task_1.2,"[(0, 1), (1, 2)]","['son', 'aunt']","(0, 2)","Lorena:female,Robert:male,Shirley:female",,"{21: 0, 22: 1, 2: 2}",train
28,a798628d-918c-4fa7-b14e-c0347250ae59,[Gregory] is a son of [Kevin].  [Kevin] is [Shirley]'s brother. ,"('Shirley', 'Gregory')",How is [Shirley] related to [Gregory] ? ,nephew,['[Gregory] is the nephew of [Shirley]. '],[Kevin] is [Shirley]'s brother.  [Gregory] is a son of [Kevin]. ,"[{('Shirley', 'nephew', 'Gregory'): [('Shirley', 'brother', 'Kevin'), ('Kevin', 'son', 'Gregory')]}]",brother-son,task_1.2,"[(0, 1), (1, 2)]","['brother', 'son']","(0, 2)","Shirley:female,Kevin:male,Gregory:male",,"{2: 0, 5: 1, 23: 2}",train
29,2440680c-5a13-43aa-a9df-0260f12b81fe,[Melvin] is [Kira]'s father.  [Kira] is the wife of [Wilford]. ,"('Wilford', 'Melvin')",How is [Wilford] related to [Melvin] ? ,father-in-law,['[Melvin] is the father-in-law of [Wilford]. '],[Kira] is the wife of [Wilford].  [Melvin] is [Kira]'s father. ,"[{('Wilford', 'father-in-law', 'Melvin'): [('Wilford', 'wife', 'Kira'), ('Kira', 'father', 'Melvin')]}]",wife-father,task_1.2,"[(0, 1), (1, 2)]","['wife', 'father']","(0, 2)","Wilford:male,Kira:female,Melvin:male",,"{28: 0, 9: 1, 6: 2}",train
30,a8de9599-5876-4b41-bf7f-8960400ed37d,The husband of [Darlene] is [Victor].  [Margaret] is [Victor]'s mother. ,"('Darlene', 'Margaret')",How is [Darlene] related to [Margaret] ? ,mother-in-law,"[""[Margaret] is [Darlene]'s mother-in-law. ""]",The husband of [Darlene] is [Victor].  [Margaret] is [Victor]'s mother. ,"[{('Darlene', 'mother-in-law', 'Margaret'): [('Darlene', 'husband', 'Victor'), ('Victor', 'mother', 'Margaret')]}]",husband-mother,task_1.2,"[(0, 1), (1, 2)]","['husband', 'mother']","(0, 2)","Darlene:female,Victor:male,Margaret:female",,"{31: 0, 13: 1, 11: 2}",train
31,50317b58-9a79-4506-b952-99c194d3047f,[Margaret] is the aunt of [Rae].  [Rae] is [Melvin]'s daughter. ,"('Melvin', 'Margaret')",How is [Melvin] related to [Margaret] ? ,sister,['[Melvin] has a sister named [Margaret]. '],[Rae] is [Melvin]'s daughter.  [Margaret] is the aunt of [Rae]. ,"[{('Melvin', 'sister', 'Margaret'): [('Melvin', 'daughter', 'Rae'), ('Rae', 'aunt', 'Margaret')]}]",daughter-aunt,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'aunt']","(0, 2)","Melvin:male,Rae:female,Margaret:female",,"{6: 0, 7: 1, 11: 2}",train
32,d2d969d3-a97b-42f4-aa10-9f0f79331982,[Lorena] has a son called [Robert].  [Margaret] is the aunt of [Robert]. ,"('Lorena', 'Margaret')",How is [Lorena] related to [Margaret] ? ,sister,['[Lorena] has a sister named [Margaret]. '],[Lorena] has a son called [Robert].  [Margaret] is the aunt of [Robert]. ,"[{('Lorena', 'sister', 'Margaret'): [('Lorena', 'son', 'Robert'), ('Robert', 'aunt', 'Margaret')]}]",son-aunt,task_1.2,"[(0, 1), (1, 2)]","['son', 'aunt']","(0, 2)","Lorena:female,Robert:male,Margaret:female",,"{21: 0, 22: 1, 11: 2}",train
33,27dbacf3-659a-4a69-a6c7-d52b00fff3f2,[Natasha] is [Rae]'s sister.  [Rae] is [Shirley]'s daughter. ,"('Shirley', 'Natasha')",How is [Shirley] related to [Natasha] ? ,daughter,['[Shirley] has a daughter called [Natasha]. '],[Rae] is [Shirley]'s daughter.  [Natasha] is [Rae]'s sister. ,"[{('Shirley', 'daughter', 'Natasha'): [('Shirley', 'daughter', 'Rae'), ('Rae', 'sister', 'Natasha')]}]",daughter-sister,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'sister']","(0, 2)","Shirley:female,Rae:female,Natasha:female",,"{2: 0, 7: 1, 8: 2}",train
